GSM1187233	GSM1528687	GSM2718354	GSM1345909	GSM1345910	GSM1345912	GSM1345913	GSM2324086	GSM2324090	GSM2445270	GSM2445271	GSM2445272	GSM2445273	GSM2445274	GSM2445275	GSM1306337	GSM2310056	GSM2310057	GSM932921	GSM932922	GSM932923	GSM932924	GSM932925	GSM932926	GSM932927	GSM932929	GSM932930	GSM932931	GSM1923657	GSM1692996	GSM1693007	GSM1047933	GSM1047938	GSM1047940	GSM1047950	GSM1587027	GSM2066252	GSM2066253	GSM1410409	GSM1033096	GSM1631251	GSM2718360	GSM2718363	GSM2718381	GSM1693784	GSM1693786	GSM1693787	GSM1910644	GSM1910645	GSM1910647	GSM2257273	GSM2341310	GSM2341311	GSM2341314	GSM2417142	GSM2438471	GSM2438472	GSM1910640	GSM1910641	GSM1910642	GSM1910643	GSM2341316	GSM2341317	GSM2385224	GSM2385225	GSM2417143	GSM2438474	GSM2438475	GSM1708673	GSM1059012	GSM1059024	GSM1059033	GSM1082340	GSM1355154	GSM1355155	GSM1355180	GSM1355182	GSM1436067	GSM1050291	GSM1050301	GSM1050304	GSM1082341	GSM1308179	GSM1308181	GSM1308182	GSM1924753	GSM1924747	GSM1924752	GSM1924746	GSM1924751	GSM1146465	GSM1146467	GSM1680578	GSM1059847	GSM1059848	GSM1059849	GSM1490131	GSM1635069	GSM1314836	GSM427090	GSM427089	GSM2640376	GSM1314840	GSM1648617	GSM1648618	GSM1648619	GSM1648620	GSM1648621	GSM1648622	GSM1648625	GSM1648626	GSM1648627	GSM1648628	GSM1648629	GSM2718347	GSM2718348	GSM2718349	GSM2718350	GSM2718376	GSM2718377	GSM2718378	GSM1624626	GSM1624628	GSM2718353	GSM615619	GSM2718355	GSM2718356	GSM2718382	GSM1631254	GSM1648631	GSM1648632	GSM2417134	GSM2417138	GSM2417135	GSM2417139	GSM1059858	GSM1059859	GSM1059860	GSM1059861	GSM1059862	GSM1059863	GSM1059864	GSM1842742	GSM1842743	GSM1059854	GSM1059850	GSM1059851	GSM1059852	GSM1059853	GSM1842763	GSM1842767	GSM1635072	GSM2640379	GSM1384738	GSM1384739	GSM1059358	GSM1059359	GSM1059362	GSM1059363	GSM2062273	GSM2062274	GSM2255577	GSM2417130	GSM2417149	GSM2417150	GSM2417156	GSM2417160	GSM2417163	GSM2417190	GSM2417193	GSM2417131	GSM2417153	GSM2417154	GSM2417158	GSM2417161	GSM2417164	GSM1713774	GSM1713775	GSM1888973	GSM2640410	GSM2640411	GSM2640412	GSM2640413	GSM2640377	GSM1528107	GSM1528108	GSM2394785	GSM1175114	GSM1050289	GSM1376841	GSM1376843	GSM1050288	GSM818936	GSM818937	GSM818938	GSM1012189	GSM2711172	GSM1711445	GSM2188906	GSM1150333	GSM1150335	GSM2640381	GSM2255553	GSM2255554	GSM2255576	GSM1213461	GSM2718351	GSM2718357	GSM1355167	GSM1355168	GSM1062366	GSM2640378	GSM1480611	GSM998924	GSM999180	GSM999182	GSM1611108	GSM2387500	GSM2387501	GSM2387502	GSM2387503	GSM2387504	GSM2387505	GSM1246725	GSM307137	GSM307138	GSM307139	GSM2341284	GSM2341285	GSM1246722	GSM2341290	GSM2341292	GSM2341295	GSM703186
GSM1187233	33243.0	3123.0	1865.0	1568.0	5095.0	1282.0	561.0	5857.0	1057.0	564.0	747.0	2384.0	2558.0	1700.0	2111.0	7696.0	5785.0	5390.0	1417.0	526.0	1370.0	1471.0	2925.0	2512.0	2486.0	1241.0	636.0	1404.0	553.0	7107.0	6787.0	3151.0	4210.0	1590.0	3350.0	1501.0	1227.0	489.0	1570.0	1806.0	1098.0	2189.0	552.0	1538.0	2337.0	2399.0	1163.0	525.0	1202.0	1783.0	1919.0	581.0	1324.0	699.0	6086.0	709.0	756.0	995.0	619.0	1104.0	528.0	444.0	475.0	1259.0	260.0	6104.0	331.0	430.0	1816.0	2365.0	2337.0	4027.0	4560.0	6807.0	6421.0	3927.0	3538.0	398.0	1030.0	1439.0	687.0	853.0	2312.0	1984.0	2092.0	12199.0	9829.0	14326.0	1781.0	2387.0	1360.0	3107.0	1213.0	5903.0	6492.0	829.0	1402.0	947.0	528.0	1416.0	2000.0	2581.0	815.0	11511.0	9113.0	11784.0	11304.0	8804.0	7393.0	8817.0	9049.0	7724.0	8727.0	10009.0	1390.0	1427.0	996.0	1870.0	4921.0	4693.0	4782.0	2281.0	3003.0	1529.0	2303.0	1546.0	1273.0	3213.0	407.0	5544.0	1426.0	3984.0	4623.0	1762.0	4623.0	6283.0	1508.0	5878.0	4798.0	6641.0	3498.0	3486.0	713.0	883.0	798.0	1142.0	1086.0	1723.0	4037.0	3465.0	318.0	384.0	3637.0	2502.0	732.0	929.0	1141.0	1253.0	452.0	9446.0	8165.0	3766.0	8355.0	8876.0	7696.0	10756.0	11024.0	7190.0	6517.0	5908.0	9176.0	4296.0	2481.0	3558.0	6345.0	4696.0	1773.0	2939.0	1072.0	1109.0	1591.0	2039.0	1290.0	1862.0	5970.0	3902.0	3227.0	649.0	1101.0	1577.0	632.0	3602.0	547.0	288.0	1141.0	3724.0	7094.0	2082.0	521.0	7174.0	6887.0	1692.0	2722.0	4406.0	1772.0	1563.0	634.0	865.0	4722.0	6151.0	2991.0	3082.0	2194.0	1266.0	806.0	1027.0	4655.0	5152.0	2110.0	2702.0	4442.0	1094.0	970.0	855.0	2373.0	978.0	1053.0	543.0	385.0	908.0	987.0	379.0	1161.0	271.0
GSM1528687	3123.0	50261.0	2589.0	1414.0	5359.0	1166.0	1163.0	8510.0	1687.0	984.0	1483.0	4609.0	4885.0	2965.0	3011.0	13005.0	7249.0	6597.0	2186.0	807.0	2155.0	2065.0	2961.0	2471.0	2448.0	1183.0	779.0	1871.0	711.0	11634.0	9825.0	3140.0	4814.0	1548.0	4348.0	1157.0	1449.0	423.0	2658.0	1592.0	1096.0	3550.0	851.0	2202.0	1716.0	1665.0	1126.0	571.0	1081.0	1657.0	1314.0	608.0	1192.0	555.0	6578.0	578.0	555.0	1579.0	869.0	1680.0	723.0	583.0	551.0	1486.0	277.0	8411.0	455.0	467.0	1117.0	2458.0	2093.0	3894.0	4940.0	7918.0	7592.0	4001.0	4925.0	416.0	1580.0	1166.0	834.0	1302.0	3102.0	2618.0	2129.0	3346.0	2696.0	5013.0	3267.0	4426.0	3373.0	6277.0	785.0	5488.0	6058.0	863.0	14246.0	857.0	609.0	2123.0	5059.0	9650.0	647.0	12524.0	9825.0	12125.0	10944.0	9295.0	8107.0	9050.0	9238.0	6755.0	7863.0	8695.0	1424.0	1397.0	898.0	1764.0	4971.0	4423.0	4620.0	4168.0	5595.0	2170.0	3823.0	2053.0	1646.0	4381.0	491.0	5427.0	1905.0	3316.0	4756.0	2175.0	6766.0	6345.0	1252.0	5562.0	3980.0	6594.0	3171.0	2946.0	811.0	1130.0	978.0	1761.0	1463.0	2441.0	4488.0	4125.0	468.0	391.0	11270.0	7941.0	2806.0	3320.0	4609.0	4676.0	1792.0	19628.0	15484.0	4050.0	10404.0	6836.0	4023.0	12051.0	13066.0	7923.0	9547.0	9127.0	12940.0	6187.0	3917.0	6032.0	7425.0	7020.0	1441.0	2505.0	1028.0	5199.0	6880.0	8363.0	5546.0	7120.0	5602.0	4693.0	2411.0	1647.0	1269.0	1415.0	632.0	3500.0	937.0	407.0	1544.0	6062.0	10138.0	2234.0	1272.0	8665.0	7610.0	6256.0	2713.0	5043.0	1503.0	1127.0	627.0	1367.0	6089.0	7004.0	7541.0	11431.0	2057.0	1376.0	1306.0	1254.0	6104.0	6715.0	2878.0	3673.0	5199.0	1571.0	1258.0	1735.0	2700.0	1553.0	1691.0	580.0	406.0	1921.0	1291.0	491.0	1707.0	353.0
GSM2718354	1865.0	2589.0	17154.0	1031.0	3389.0	814.0	521.0	4382.0	907.0	505.0	632.0	2076.0	2200.0	1561.0	1782.0	5205.0	4326.0	3835.0	1223.0	457.0	1198.0	1217.0	2282.0	1936.0	1929.0	979.0	588.0	1372.0	2209.0	4977.0	4892.0	4551.0	4501.0	2942.0	3942.0	2254.0	3614.0	1518.0	1219.0	3303.0	5615.0	12900.0	4322.0	8979.0	1894.0	1846.0	3068.0	2065.0	2795.0	3923.0	2315.0	2609.0	3562.0	1762.0	9958.0	1997.0	2215.0	4467.0	3059.0	4755.0	2558.0	2154.0	1976.0	4146.0	1613.0	11954.0	2045.0	1972.0	861.0	4494.0	3785.0	6073.0	7987.0	9680.0	10009.0	6491.0	4120.0	1715.0	4429.0	2942.0	2573.0	4340.0	6493.0	2029.0	3745.0	1230.0	1760.0	2361.0	4030.0	5522.0	1289.0	2665.0	496.0	7484.0	7405.0	755.0	1117.0	961.0	522.0	1240.0	1774.0	2770.0	669.0	15500.0	14155.0	16818.0	17294.0	16344.0	15636.0	12742.0	13549.0	12262.0	14366.0	15374.0	7665.0	7889.0	5450.0	9177.0	15532.0	14007.0	14801.0	10391.0	11302.0	11029.0	1395.0	11784.0	9731.0	15609.0	2117.0	9284.0	5355.0	7734.0	10172.0	6548.0	13333.0	10595.0	2922.0	7957.0	6037.0	9869.0	6107.0	5187.0	2616.0	3393.0	3237.0	4857.0	4379.0	4598.0	6569.0	7997.0	1851.0	340.0	3703.0	2204.0	652.0	864.0	1122.0	1354.0	416.0	8519.0	7588.0	2831.0	14331.0	4227.0	3668.0	7529.0	9814.0	9100.0	13841.0	13628.0	14982.0	5436.0	4143.0	6576.0	7274.0	9587.0	1291.0	2217.0	1133.0	1213.0	1783.0	2252.0	1382.0	2013.0	5270.0	5094.0	2090.0	880.0	1901.0	3053.0	1668.0	4015.0	1677.0	1094.0	3069.0	2812.0	6884.0	2806.0	506.0	5127.0	4878.0	1814.0	1936.0	3293.0	1343.0	1288.0	2666.0	4695.0	7329.0	8049.0	4431.0	3248.0	1539.0	1010.0	765.0	809.0	3651.0	4048.0	1672.0	2239.0	3402.0	957.0	791.0	2537.0	5520.0	4594.0	4719.0	2405.0	1852.0	2449.0	3509.0	1930.0	2577.0	1480.0
GSM1345909	1568.0	1414.0	1031.0	5960.0	7343.0	3230.0	1875.0	4249.0	993.0	300.0	303.0	1100.0	1219.0	909.0	1550.0	4796.0	5355.0	5445.0	1779.0	765.0	1747.0	1798.0	4014.0	3519.0	3546.0	1885.0	860.0	1926.0	312.0	4955.0	5466.0	2887.0	3219.0	1169.0	2277.0	1629.0	568.0	192.0	429.0	1764.0	343.0	814.0	153.0	860.0	3166.0	3167.0	943.0	294.0	936.0	1307.0	2286.0	258.0	1031.0	439.0	3753.0	386.0	318.0	570.0	355.0	615.0	358.0	285.0	373.0	829.0	103.0	4178.0	169.0	221.0	769.0	2347.0	2426.0	3875.0	3662.0	5558.0	5019.0	3877.0	3367.0	149.0	623.0	1249.0	355.0	429.0	1746.0	1455.0	1955.0	244.0	173.0	246.0	358.0	702.0	1377.0	3122.0	707.0	5151.0	5659.0	994.0	913.0	583.0	571.0	1889.0	1850.0	1645.0	1246.0	5769.0	5108.0	5800.0	5669.0	5433.0	4932.0	4659.0	5075.0	4638.0	4894.0	5503.0	467.0	708.0	420.0	968.0	3872.0	3725.0	3395.0	959.0	1167.0	686.0	565.0	775.0	627.0	1980.0	180.0	4729.0	746.0	2072.0	1107.0	992.0	2031.0	5364.0	1636.0	5257.0	4756.0	5630.0	3335.0	3270.0	353.0	437.0	519.0	662.0	623.0	1384.0	4057.0	2999.0	151.0	185.0	2719.0	1728.0	539.0	656.0	580.0	901.0	247.0	7135.0	7135.0	5122.0	4298.0	3369.0	5509.0	5202.0	4574.0	3499.0	1934.0	2400.0	4843.0	2664.0	1409.0	1829.0	4457.0	2355.0	1956.0	3325.0	690.0	705.0	1067.0	1369.0	861.0	1223.0	5168.0	3052.0	3672.0	534.0	838.0	1518.0	405.0	3286.0	318.0	145.0	743.0	1944.0	4558.0	1361.0	327.0	6128.0	6309.0	1303.0	4135.0	5401.0	2805.0	2436.0	301.0	459.0	3081.0	4918.0	1774.0	1791.0	4028.0	2648.0	2189.0	2637.0	5977.0	6800.0	4307.0	5276.0	6486.0	2637.0	2313.0	614.0	1784.0	483.0	592.0	216.0	164.0	657.0	784.0	250.0	1043.0	151.0
GSM1345910	5095.0	5359.0	3389.0	7343.0	67071.0	5014.0	3787.0	14519.0	2763.0	1059.0	1511.0	4534.0	4903.0	3427.0	4848.0	16433.0	18923.0	18459.0	5885.0	2259.0	5774.0	5859.0	10660.0	9072.0	9058.0	4496.0	2311.0	5558.0	958.0	16494.0	17710.0	8531.0	11988.0	3488.0	9056.0	3831.0	1952.0	547.0	3475.0	4451.0	1202.0	3158.0	556.0	2768.0	7576.0	7591.0	2345.0	893.0	2302.0	3578.0	5512.0	892.0	2755.0	1182.0	12623.0	978.0	892.0	2127.0	1224.0	2397.0	1117.0	875.0	1035.0	3163.0	386.0	14743.0	553.0	608.0	2222.0	6236.0	6289.0	11019.0	11482.0	19630.0	17517.0	11105.0	10229.0	459.0	2174.0	2981.0	1160.0	1776.0	5758.0	5670.0	5588.0	1811.0	2264.0	3835.0	2179.0	3408.0	3494.0	8552.0	3263.0	15976.0	18309.0	2218.0	2791.0	1474.0	1360.0	4522.0	5445.0	5690.0	2775.0	19452.0	16676.0	21749.0	20558.0	18708.0	16180.0	14343.0	16253.0	14087.0	15870.0	18976.0	1700.0	2145.0	1301.0	2874.0	11465.0	10658.0	10159.0	3294.0	4078.0	2486.0	2988.0	2602.0	2098.0	6317.0	579.0	14121.0	2742.0	5904.0	4540.0	2894.0	7429.0	17162.0	3805.0	16391.0	13579.0	18447.0	9211.0	8865.0	1149.0	1485.0	1595.0	2379.0	2216.0	4321.0	11506.0	9043.0	488.0	526.0	8512.0	6119.0	1831.0	2011.0	2328.0	2846.0	830.0	25099.0	23056.0	15136.0	13124.0	9491.0	16300.0	16912.0	14516.0	9696.0	7434.0	8292.0	15304.0	7329.0	4081.0	5564.0	12837.0	6998.0	4348.0	7976.0	1918.0	2150.0	3342.0	4466.0	2603.0	4006.0	16370.0	8847.0	8991.0	1319.0	2274.0	3808.0	1099.0	8870.0	992.0	417.0	2400.0	6095.0	17397.0	3889.0	844.0	20850.0	20264.0	4060.0	11029.0	17106.0	6552.0	5172.0	1019.0	1846.0	10436.0	16514.0	5393.0	6491.0	8635.0	5171.0	4563.0	4962.0	18374.0	22266.0	9803.0	12675.0	19218.0	5284.0	4340.0	2086.0	5198.0	2094.0	2292.0	780.0	539.0	2157.0	2382.0	756.0	3069.0	430.0
GSM1345912	1282.0	1166.0	814.0	3230.0	5014.0	4255.0	1531.0	3151.0	850.0	287.0	308.0	867.0	946.0	765.0	1288.0	3661.0	3831.0	3902.0	1371.0	592.0	1366.0	1360.0	3080.0	2716.0	2737.0	1452.0	694.0	1518.0	296.0	3720.0	4039.0	2253.0	2516.0	985.0	1738.0	1308.0	542.0	219.0	336.0	1394.0	317.0	607.0	138.0	633.0	2391.0	2400.0	865.0	291.0	836.0	1137.0	1849.0	236.0	853.0	407.0	3058.0	416.0	318.0	496.0	313.0	534.0	314.0	253.0	344.0	754.0	136.0	3407.0	178.0	248.0	666.0	1886.0	1937.0	3002.0	2808.0	4145.0	3872.0	2948.0	2574.0	175.0	554.0	1083.0	374.0	404.0	1435.0	1111.0	1498.0	235.0	194.0	218.0	325.0	603.0	1138.0	2595.0	586.0	3822.0	4198.0	868.0	761.0	523.0	514.0	1490.0	1484.0	1338.0	1005.0	4304.0	3884.0	4232.0	4195.0	3995.0	3768.0	3566.0	3819.0	3548.0	3719.0	4064.0	365.0	574.0	342.0	745.0	2886.0	2763.0	2515.0	827.0	994.0	553.0	520.0	618.0	528.0	1476.0	186.0	3610.0	722.0	1788.0	930.0	945.0	1630.0	4026.0	1345.0	4008.0	3599.0	4209.0	2640.0	2672.0	382.0	419.0	503.0	609.0	597.0	1163.0	3191.0	2424.0	165.0	173.0	2182.0	1441.0	453.0	604.0	541.0	789.0	275.0	5137.0	5225.0	3669.0	3273.0	2758.0	4072.0	3863.0	3447.0	2747.0	1493.0	1894.0	3759.0	2252.0	1318.0	1537.0	3351.0	1919.0	1611.0	2609.0	660.0	606.0	895.0	1122.0	734.0	990.0	3880.0	2478.0	2879.0	463.0	704.0	1209.0	429.0	2564.0	270.0	138.0	646.0	1507.0	3283.0	1102.0	324.0	4440.0	4512.0	1061.0	3001.0	3862.0	2125.0	2013.0	289.0	387.0	2423.0	3688.0	1414.0	1453.0	3157.0	2038.0	1686.0	2201.0	4227.0	4750.0	3421.0	3992.0	4596.0	2128.0	1926.0	516.0	1475.0	423.0	483.0	215.0	172.0	545.0	638.0	238.0	861.0	165.0
GSM1345913	561.0	1163.0	521.0	1875.0	3787.0	1531.0	4440.0	1439.0	477.0	251.0	341.0	686.0	730.0	550.0	732.0	1815.0	2244.0	2445.0	1624.0	758.0	1625.0	1419.0	1900.0	1652.0	1659.0	914.0	648.0	1422.0	266.0	1739.0	1711.0	853.0	992.0	487.0	809.0	438.0	381.0	195.0	346.0	559.0	294.0	498.0	169.0	378.0	630.0	633.0	412.0	193.0	412.0	519.0	579.0	157.0	326.0	207.0	1375.0	290.0	247.0	393.0	254.0	385.0	216.0	179.0	195.0	373.0	120.0	1653.0	179.0	247.0	337.0	714.0	662.0	995.0	1145.0	1649.0	1578.0	963.0	943.0	197.0	419.0	431.0	298.0	326.0	756.0	527.0	586.0	198.0	223.0	290.0	363.0	574.0	651.0	1143.0	298.0	1276.0	1361.0	320.0	631.0	310.0	246.0	515.0	820.0	1253.0	318.0	1774.0	1584.0	1797.0	1743.0	1686.0	1553.0	1387.0	1498.0	1288.0	1410.0	1665.0	250.0	324.0	200.0	362.0	1074.0	962.0	949.0	681.0	826.0	407.0	491.0	404.0	363.0	791.0	193.0	1277.0	478.0	808.0	737.0	610.0	1192.0	1429.0	464.0	1346.0	1119.0	1516.0	907.0	862.0	290.0	319.0	289.0	469.0	420.0	637.0	1168.0	1040.0	189.0	162.0	1498.0	1097.0	368.0	514.0	576.0	677.0	269.0	3173.0	2910.0	2390.0	1413.0	1143.0	1189.0	1681.0	1499.0	1192.0	1026.0	1040.0	1655.0	1059.0	830.0	920.0	1234.0	1063.0	573.0	807.0	394.0	603.0	812.0	988.0	692.0	948.0	1264.0	1002.0	841.0	328.0	351.0	500.0	280.0	884.0	211.0	116.0	343.0	818.0	1521.0	486.0	262.0	1575.0	1494.0	944.0	1822.0	2600.0	941.0	677.0	199.0	326.0	1238.0	1464.0	902.0	1326.0	1785.0	1140.0	2474.0	2548.0	3241.0	4693.0	3758.0	4158.0	4242.0	2431.0	1997.0	436.0	662.0	379.0	406.0	180.0	146.0	478.0	327.0	163.0	410.0	175.0
GSM2324086	5857.0	8510.0	4382.0	4249.0	14519.0	3151.0	1439.0	68098.0	10691.0	7130.0	6959.0	30668.0	32319.0	23038.0	23224.0	35163.0	20979.0	19196.0	4777.0	1678.0	4650.0	5023.0	8692.0	7248.0	7284.0	3449.0	1736.0	4432.0	1200.0	23725.0	22675.0	8688.0	12041.0	3581.0	9462.0	3500.0	2656.0	641.0	4026.0	4711.0	1684.0	4298.0	877.0	3299.0	6902.0	6919.0	2346.0	946.0	2355.0	3909.0	4823.0	1103.0	2916.0	1155.0	16705.0	912.0	862.0	2742.0	1458.0	3075.0	1320.0	1079.0	1156.0	3204.0	416.0	20999.0	619.0	616.0	2523.0	6453.0	6143.0	11492.0	13137.0	22665.0	20443.0	11946.0	11339.0	607.0	2939.0	3115.0	1335.0	2118.0	6879.0	6104.0	6230.0	3515.0	3103.0	5420.0	3251.0	4843.0	6019.0	12567.0	2361.0	16333.0	17979.0	2008.0	3712.0	2266.0	1472.0	5148.0	8307.0	10463.0	2442.0	23431.0	21359.0	29631.0	26923.0	24402.0	19559.0	16627.0	20980.0	15901.0	18120.0	22818.0	2294.0	2713.0	1726.0	3650.0	12586.0	11825.0	11504.0	4564.0	5931.0	3172.0	8934.0	3486.0	2788.0	7644.0	641.0	15531.0	3143.0	7405.0	6504.0	4318.0	10315.0	18155.0	3396.0	16048.0	12849.0	19223.0	9009.0	8417.0	1270.0	1805.0	1743.0	3052.0	2565.0	4994.0	12166.0	10286.0	568.0	907.0	14123.0	11123.0	3716.0	3382.0	4517.0	5415.0	2021.0	30609.0	26304.0	12180.0	17223.0	11141.0	14456.0	21737.0	18548.0	11507.0	10615.0	10574.0	22844.0	8962.0	5009.0	7352.0	14828.0	9210.0	4074.0	7584.0	2153.0	4297.0	6140.0	7992.0	4910.0	7437.0	19093.0	12740.0	8097.0	2155.0	3488.0	3830.0	1206.0	11375.0	1803.0	671.0	3269.0	9598.0	26562.0	6142.0	1766.0	26894.0	24972.0	6746.0	8466.0	14528.0	5384.0	4146.0	1109.0	2354.0	14476.0	20224.0	7987.0	12320.0	6075.0	3734.0	2009.0	2293.0	15708.0	17815.0	6092.0	8406.0	14749.0	3155.0	2640.0	2271.0	6128.0	2935.0	3148.0	893.0	617.0	2492.0	2682.0	874.0	3371.0	454.0
GSM2324090	1057.0	1687.0	907.0	993.0	2763.0	850.0	477.0	10691.0	13256.0	3248.0	2914.0	7681.0	7842.0	6923.0	6545.0	7225.0	3301.0	2788.0	1141.0	473.0	1109.0	1146.0	1547.0	1306.0	1314.0	661.0	405.0	854.0	341.0	3886.0	3793.0	1593.0	2128.0	821.0	1706.0	785.0	585.0	260.0	819.0	963.0	521.0	820.0	244.0	631.0	1122.0	1113.0	701.0	287.0	661.0	868.0	845.0	313.0	670.0	343.0	2664.0	377.0	305.0	661.0	398.0	691.0	320.0	342.0	351.0	870.0	269.0	3073.0	237.0	297.0	502.0	1318.0	1253.0	1939.0	2197.0	3453.0	3247.0	1937.0	2080.0	265.0	631.0	740.0	402.0	610.0	1412.0	1086.0	957.0	492.0	557.0	804.0	651.0	827.0	2028.0	3877.0	575.0	2766.0	3157.0	590.0	845.0	498.0	504.0	1403.0	2372.0	2966.0	555.0	3231.0	2817.0	3682.0	3645.0	3433.0	3171.0	2377.0	2623.0	2311.0	2830.0	3465.0	549.0	620.0	375.0	781.0	2262.0	2157.0	2128.0	996.0	1227.0	650.0	1506.0	685.0	628.0	1493.0	233.0	2507.0	902.0	1396.0	1529.0	906.0	2289.0	2962.0	851.0	2779.0	2211.0	3181.0	1829.0	1740.0	351.0	441.0	545.0	681.0	682.0	1018.0	2154.0	1811.0	212.0	264.0	3502.0	3143.0	1336.0	1191.0	1462.0	1964.0	848.0	6626.0	5685.0	2192.0	3096.0	2095.0	2261.0	3522.0	2996.0	2154.0	2283.0	2335.0	3433.0	1841.0	1247.0	1547.0	2420.0	1765.0	918.0	1433.0	635.0	1303.0	1738.0	2056.0	1431.0	2180.0	3970.0	2862.0	1445.0	641.0	950.0	849.0	466.0	2359.0	584.0	200.0	746.0	2029.0	4416.0	1898.0	590.0	6000.0	5552.0	1862.0	1720.0	2623.0	1078.0	1062.0	319.0	575.0	2182.0	2897.0	1839.0	3287.0	1260.0	797.0	603.0	757.0	2408.0	2669.0	1358.0	1615.0	2237.0	775.0	708.0	575.0	1199.0	618.0	665.0	316.0	269.0	646.0	680.0	295.0	814.0	200.0
GSM2445270	564.0	984.0	505.0	300.0	1059.0	287.0	251.0	7130.0	3248.0	7204.0	4565.0	7507.0	7503.0	7590.0	6592.0	4935.0	1572.0	1306.0	651.0	298.0	650.0	570.0	739.0	644.0	616.0	361.0	267.0	549.0	242.0	1929.0	1792.0	628.0	876.0	355.0	800.0	285.0	294.0	158.0	448.0	434.0	369.0	531.0	165.0	349.0	354.0	334.0	259.0	169.0	266.0	404.0	336.0	191.0	312.0	181.0	1225.0	217.0	184.0	389.0	225.0	397.0	209.0	188.0	185.0	325.0	116.0	1481.0	164.0	202.0	267.0	542.0	463.0	777.0	1015.0	1520.0	1486.0	805.0	936.0	177.0	379.0	333.0	278.0	378.0	644.0	479.0	384.0	425.0	427.0	655.0	409.0	533.0	1087.0	1725.0	288.0	1078.0	1160.0	215.0	493.0	372.0	220.0	606.0	1193.0	1805.0	213.0	1571.0	1389.0	1881.0	1824.0	1658.0	1446.0	1151.0	1302.0	1065.0	1356.0	1609.0	290.0	357.0	230.0	398.0	990.0	941.0	973.0	633.0	751.0	403.0	1720.0	420.0	376.0	789.0	174.0	1071.0	480.0	656.0	906.0	468.0	1201.0	1217.0	311.0	1037.0	759.0	1303.0	683.0	640.0	246.0	327.0	259.0	391.0	354.0	461.0	829.0	869.0	178.0	230.0	2084.0	1743.0	740.0	715.0	911.0	1116.0	558.0	3130.0	2513.0	881.0	1560.0	993.0	812.0	1749.0	1586.0	1044.0	1326.0	1231.0	1754.0	901.0	619.0	822.0	1107.0	943.0	357.0	558.0	330.0	901.0	1141.0	1348.0	969.0	1359.0	1663.0	1463.0	549.0	342.0	476.0	377.0	241.0	1012.0	371.0	163.0	444.0	1254.0	2173.0	922.0	449.0	2705.0	2290.0	1127.0	661.0	1091.0	440.0	344.0	166.0	332.0	1170.0	1382.0	1072.0	2038.0	431.0	260.0	264.0	309.0	987.0	1109.0	532.0	624.0	876.0	304.0	257.0	313.0	560.0	426.0	419.0	187.0	149.0	372.0	294.0	174.0	368.0	165.0
